Id,RevenueStreamCode,TransactionBy,BillNo,ReceiptNo,StatusCode,TransactionTypeCode,TransactionType,BillAmount,AmountToPay,WardId,TransactionCode,Identifier,Identifier2,ClientName,ChannelId,ChannelFileNumber,BriefDescription,IncomeTypeId,EntryVia,RequestBy,PaymentMethod,BillType,AccountNumber,CostCenterId,DetailSerialNo,FeesId,LocalAuthorityId,StatusMessage,Year,Month,CashierId,Owner,DateCreated,LastModified
33968,PARKING,portal,NULL,NULL,RECEIPTED,NULL,PARKINGFEE,200,200,48,PKN06149738,KBR768F,NULL,KBR768F,1,NULL,Parking fee ,0,NULL,NULL,1,0,Jan-71,0803-09-00,NULL,1,1,NULL,0,0,863,NULL,57:08.7,57:08.7
33946,PARKING,portal,NULL,NULL,RECEIPTED,NULL,PARKINGFEE,200,200,48,PKN06149745,kby258a,NULL,kby258a,1,NULL,Parking fee ,0,NULL,NULL,1,0,Jan-71,0803-09-00,NULL,1,1,NULL,0,0,863,NULL,49:02.2,49:02.2
33947,PARKING,portal,NULL,NULL,RECEIPTED,NULL,PARKINGFEE,200,200,48,PKN06149749,kcl620R,NULL,kcl620R,1,NULL,Parking fee ,0,NULL,NULL,1,0,Jan-71,0803-09-00,NULL,1,1,NULL,0,0,863,NULL,49:03.6,49:03.6
34116,PARKING,portal,NULL,NULL,RECEIPTED,NULL,PARKINGFEE,200,200,48,PKN06149750,kck569f,NULL,kck569f,1,NULL,Parking fee ,0,NULL,NULL,1,0,Jan-71,0803-09-00,NULL,1,1,NULL,0,0,863,NULL,21:55.7,21:55.7
33964,PARKING,portal,NULL,NULL,RECEIPTED,NULL,PARKINGFEE,200,200,48,PKN06149751,kcq028f,NULL,kcq028f,1,NULL,Parking fee ,0,NULL,NULL,1,0,Jan-71,0803-09-00,NULL,1,1,NULL,0,0,863,NULL,56:30.9,56:30.9
33934,PARKING,portal,NULL,NULL,RECEIPTED,NULL,PARKINGFEE,200,200,48,PKN06149770,KCQ444Z,NULL,KCQ444Z,1,NULL,Parking fee ,0,NULL,NULL,1,0,Jan-71,0803-09-00,NULL,1,1,NULL,0,0,863,NULL,34:02.1,34:02.1
34219,PARKING,portal,NULL,NULL,RECEIPTED,NULL,PARKINGFEE,200,200,48,PKN06149771,KBQ495A,NULL,KBQ495A,1,NULL,Parking fee ,0,NULL,NULL,1,0,Jan-71,0803-09-00,NULL,1,1,NULL,0,0,863,NULL,39:51.8,39:51.8
33945,PARKING,portal,NULL,NULL,RECEIPTED,NULL,PARKINGFEE,200,200,48,PKN06149773,KBP911F,NULL,KBP911F,1,NULL,Parking fee ,0,NULL,NULL,1,0,Jan-71,0803-09-00,NULL,1,1,NULL,0,0,863,NULL,49:02.0,49:02.0
33935,PARKING,portal,NULL,NULL,RECEIPTED,NULL,PARKINGFEE,200,200,48,PKN06149778,KCF105M,NULL,KCF105M,1,NULL,Parking fee ,0,NULL,NULL,1,0,Jan-71,0803-09-00,NULL,1,1,NULL,0,0,863,NULL,35:10.9,35:10.9
33991,PARKING,portal,NULL,NULL,RECEIPTED,NULL,PARKINGFEE,200,200,48,PKN06149786,kcs593U,NULL,kcs593U,1,NULL,Parking fee ,0,NULL,NULL,1,0,Jan-71,0803-09-00,NULL,1,1,NULL,0,0,863,NULL,00:09.5,00:09.5
33972,PARKING,portal,NULL,NULL,RECEIPTED,NULL,PARKINGFEE,200,200,48,PKN06149787,KBS568M,NULL,KBS568M,1,NULL,Parking fee ,0,NULL,NULL,1,0,Jan-71,0803-09-00,NULL,1,1,NULL,0,0,863,NULL,57:29.5,57:29.5
33938,PARKING,portal,NULL,NULL,RECEIPTED,NULL,PARKINGFEE,200,200,48,PKN06149789,KBN589S,NULL,KBN589S,1,NULL,Parking fee ,0,NULL,NULL,1,0,Jan-71,0803-09-00,NULL,1,1,NULL,0,0,863,NULL,39:49.4,39:49.4
34023,PARKING,portal,NULL,NULL,RECEIPTED,NULL,PARKINGFEE,200,200,48,PKN06149801,Kck524e,NULL,Kck524e,1,NULL,Parking fee ,0,NULL,NULL,1,0,Jan-71,0803-09-00,NULL,1,1,NULL,0,0,863,NULL,04:33.3,04:33.3
